Id,TenancyId,DocumentType,DocumentNo,ExternalDocRef,TransactionDate,TransactionAmount
46,16,Receipt,R37,OI96DU6SRW,2020-09-23 21:22:10.027954,-5000
47,89,Receipt,R38,OIA9EUBGWB,2020-09-23 21:22:10.115567,-19630
48,109,Receipt,R39,OIA8ERPDZY,2020-09-23 21:22:10.20232,-5500
49,84,Receipt,R40,OIA4EQX68C,2020-09-23 21:22:10.290072,-16671
50,69,Receipt,R41,OIA7EQEXAP,2020-09-23 21:22:10.386829,-13415
51,101,Receipt,R42,OIA8EQ6PC0,2020-09-23 21:22:10.478127,-15978
52,41,Receipt,R43,OIA4EOW978,2020-09-23 21:22:10.564963,-8500
53,8,Receipt,R44,OI97DRBQJV,2020-09-23 21:22:10.658,-7500
54,66,Receipt,R45,OIA6EKO9JK,2020-09-23 21:22:10.760418,-13600
55,52,Receipt,R46,OI96E4W43E,2020-09-23 21:22:10.858179,-12978
56,159,Receipt,R47,OI92DZIO5C,2020-09-23 21:22:10.945043,-15800
57,136,Receipt,R48,OI99DV36OH,2020-09-23 21:22:11.028497,-14700
58,15,Receipt,R49,OI95DUQAK1,2020-09-23 21:22:11.127902,-8000
59,97,Receipt,R50,OIA8EH2JDS,2020-09-23 21:22:11.213524,-1000
60,149,Receipt,R51,OI79C09GGL,2020-09-23 21:22:11.314371,-9000
61,134,Receipt,R52,OI72BZREUK,2020-09-23 21:22:11.398232,-18360
62,129,Receipt,R53,OI75BZG2LF,2020-09-23 21:22:11.491891,-9240
63,25,Receipt,R54,OI34810BUO,2020-09-23 21:22:11.581655,-12400
64,67,Receipt,R55,OI387YJOUO,2020-09-23 21:22:11.673088,-13400
65,59,Receipt,R56,OI367O4D8U,2020-09-23 21:22:11.770909,-15752
66,20,Receipt,R57,OI367LAVX4,2020-09-23 21:22:11.855086,-2000
67,16,Receipt,R58,OI307I9UC4,2020-09-23 21:22:11.945802,-3000
68,42,Receipt,R59,OI387GCVCU,2020-09-23 21:22:12.011036,-6500
69,98,Receipt,R60,OI327EUYWU,2020-09-23 21:22:12.109476,-16079
70,128,Receipt,R61,OI3776PLAX,2020-09-23 21:22:12.18933,-8880
71,104,Receipt,R62,OI256QCRZJ,2020-09-23 21:22:12.287195,-18500
72,72,Receipt,R63,OI286IQKGM,2020-09-23 21:22:12.397629,-13300
73,78,Receipt,R64,OI21615NSX,2020-09-23 21:22:12.492469,-13000
74,76,Receipt,R65,OI155Y5CDL,2020-09-23 21:22:12.585098,-13400
75,6,Receipt,R66,OI115BM3PP,2020-09-23 21:22:12.667793,-7000
76,31,Receipt,R67,OI317A5P2H,2020-09-23 21:22:12.760618,-3000
77,162,Receipt,R68,OI428G248E,2020-09-23 21:22:12.857976,-15750
78,47,Receipt,R69,OI408MDKKW,2020-09-23 21:22:12.927472,-12467
79,100,Receipt,R70,OI70BYYT84,2020-09-23 21:22:13.016741,-3000
80,146,Receipt,R71,OI79BU5X4L,2020-09-23 21:22:13.10718,-5000
81,135,Receipt,R72,OI79BJ7T0D,2020-09-23 21:22:13.207,-13360
82,158,Receipt,R73,OI60AZHG20,2020-09-23 21:22:13.29314,-18300
83,29,Receipt,R74,OI62AUQKL0,2020-09-23 21:22:13.385114,-3200
84,36,Receipt,R75,OI63AQGIG7,2020-09-23 21:22:13.478771,-8500
85,62,Receipt,R76,OI67AKUFGL,2020-09-23 21:22:13.550543,-13326
86,102,Receipt,R77,OI55A6FJFZ,2020-09-23 21:22:13.646341,-15600
87,33,Receipt,R78,OI57A07JZB,2020-09-23 21:22:13.734215,-7000
88,64,Receipt,R79,OI569NCOVW,2020-09-23 21:22:13.837611,-13163
89,145,Receipt,R80,OI599JQF4L,2020-09-23 21:22:13.940056,-13825
90,87,Receipt,R81,OI4391XU1J,2020-09-23 21:22:14.031044,-10637
91,105,Receipt,R82,OIA2EZN17C,2020-09-23 21:22:14.116884,-9500
92,141,Receipt,R83,OI1451ZR6A,2020-09-23 21:22:14.212087,-18240
93,74,Receipt,R84,OIA4FBEWPW,2020-09-23 21:22:14.313694,-13489
97,27,Receipt,R88,OIG9KUXS53,2020-09-23 21:22:14.713879,-8000
98,50,Receipt,R89,OIG9KUMC3R,2020-09-23 21:22:14.811704,-12000
99,28,Receipt,R90,OIF8KP7ONO,2020-09-23 21:22:14.916541,-7000
101,63,Receipt,R92,OIF8KL7C76,2020-09-23 21:22:15.10007,-12350
102,23,Receipt,R93,OIF6K7EZKA,2020-09-23 21:22:15.21634,-8000
103,46,Receipt,R94,OIE4JBT49W,2020-09-23 21:22:15.322227,-4500
104,148,Receipt,R95,OIE0JB0BHM,2020-09-23 21:22:15.426907,-5000
106,146,Receipt,R97,OIG6LKL0LI,2020-09-23 21:22:15.615994,-3000
109,146,Receipt,R100,OIG5LS863T,2020-09-23 21:22:16.046119,-250
111,146,Receipt,R102,OIG9LM2S8N,2020-09-23 21:22:16.249564,-1750
112,12,Receipt,R103,OIE5J6T637,2020-09-23 21:22:16.349512,-7000
113,43,Receipt,R104,OIE7IZS09R,2020-09-23 21:22:16.462749,-9000
114,59,Receipt,R105,OIE5IW3ML9,2020-09-23 21:22:16.539124,-3000
115,146,Receipt,R106,OIB4GAUEZY,2020-09-23 21:22:16.644925,-3000
116,137,Receipt,R107,OIB3GAMB3B,2020-09-23 21:22:16.761453,-13400
117,9,Receipt,R108,OIB2G9995Y,2020-09-23 21:22:16.865583,-10000
118,91,Receipt,R109,OIB9G05CQF,2020-09-23 21:22:16.951799,-7000
119,131,Receipt,R110,OIB1FUYUHP,2020-09-23 21:22:17.055902,-14240
120,99,Receipt,R111,OIB9FPGX5Z,2020-09-23 21:22:17.150164,-15489
121,105,Receipt,R112,OIB1FKT5L1,2020-09-23 21:22:17.250225,-10000
122,85,Receipt,R113,OIB1FK9O5D,2020-09-23 21:22:17.338295,-12612
123,144,Receipt,R114,OIA9FI28JR,2020-09-23 21:22:17.430272,-15000
124,113,Receipt,R115,OIB1FUXUCL,2020-09-23 21:22:17.536044,-3000
125,31,Receipt,R116,OIB5GHBXPX,2020-09-23 21:22:17.638692,-3500
126,142,Receipt,R117,OIB8GHLJ0K,2020-09-23 21:22:17.712183,-13120
127,106,Receipt,R118,OIB7GK0GTB,2020-09-23 21:22:17.820208,-15978
128,164,Receipt,R119,OIE4IVGK9A,2020-09-23 21:22:17.915545,-15800
129,100,Receipt,R120,OIE4IPSAIU,2020-09-23 21:22:18.001184,-3000
130,38,Receipt,R121,OIE7IPOWHL,2020-09-23 21:22:18.104339,-8000
131,20,Receipt,R122,OID8HV9UIS,2020-09-23 21:22:18.200709,-8000
132,93,Receipt,R123,OID2HV484S,2020-09-23 21:22:18.323595,-19326
133,77,Receipt,R124,OIC7HNAJ5D,2020-09-23 21:22:18.436043,-13000
134,80,Receipt,R125,OIC4HIJKSC,2020-09-23 21:22:18.541916,-13326
135,96,Receipt,R126,OIC0H7TPZM,2020-09-23 21:22:18.64604,-15815
136,24,Receipt,R127,OIB3GMNI8V,2020-09-23 21:22:18.734999,-4000
137,86,Receipt,R128,OIB9GLTDU5,2020-09-23 21:22:18.846215,-17082
138,29,Receipt,R129,OIB6GL4Q7W,2020-09-23 21:22:18.953352,-1300
139,65,Receipt,R130,OIB3GL3GDT,2020-09-23 21:22:19.066907,-14000
140,127,Receipt,R131,OIA9FAS6XR,2020-09-23 21:22:19.150248,-9120
141,100,Receipt,R132,OI1650MQVW,2020-09-23 21:22:19.259919,-3000
142,147,Receipt,R133,OIA3FD18M9,2020-09-23 23:36:11.679931,-9300
143,132,Receipt,R134,OIM6RBVSE0,2020-09-23 23:38:58.827285,-2000.00
144,107,Receipt,R135,OIC2HJULPK,2020-09-23 23:42:18.659047,-4500
145,49,Receipt,R136,OI88CW596E,2020-09-24 13:41:50.362891,-13467
146,61,Receipt,R137,OIB6GM6OQM,2020-09-24 13:45:15.452606,-14000
147,19,Receipt,R138,OIB4FQ9ROS,2020-09-24 13:48:45.99106,-12000
148,157,Receipt,R139,OIB6GA1GQW,2020-09-24 13:51:22.039749,-10000
149,13,Receipt,R140,OI70BRKYGW,2020-09-24 13:56:48.106913,-7500
150,55,Receipt,R141,OI77C2DSOX,2020-09-24 13:58:55.894396,-12163
151,165,Receipt,R142,OI1958VO2J,2020-09-24 14:01:32.65399,-17057
152,149,Receipt,R143,OIO1TRA4FB,2020-09-24 14:50:40.287725,-10000.00
153,33,Receipt,R144,OI98DKKG8G,2020-09-24 15:50:40.035961,-8500
154,130,Receipt,R145,OIA7EY65HB,2020-09-24 15:58:09.92742,-16240
155,56,Receipt,R146,OIM7RXL9A7,2020-09-24 16:16:05.172302,-289.00
156,56,Receipt,R147,OIH6MKO2W6,2020-09-24 16:16:15.791475,-3700.00
157,56,Receipt,R148,OI88CD7O70,2020-09-24 16:17:04.263549,-8500
158,70,Receipt,R149,OI70BTM60C,2020-09-24 16:25:44.969684,-13132
159,3,Receipt,R150,OIB7GG31E7,2020-09-24 16:30:45.680007,-15000
160,167,Receipt,R151,OIA4F7GSQ2,2020-09-24 16:57:43.558163,-3000
162,143,Receipt,R153,OIO4TX7NKW,2020-09-24 17:12:36.073933,-12000.00
163,58,Receipt,R154,OI458U8NJR,2020-09-24 19:02:27.982079,-12489
164,32,Receipt,R155,OI4687T6XS,2020-09-24 19:04:07.718888,-6500
165,51,Receipt,R156,OI96DV080E,2020-09-24 19:06:09.183672,-12900
166,40,Receipt,R157,OI4385MZ2L,2020-09-24 19:09:30.650595,-6500
167,156,Receipt,R158,OI93DWL8PJ,2020-09-24 19:11:35.035642,-10900
168,48,Receipt,R159,OI98DHO3GK,2020-09-24 19:18:11.111439,-10652
169,139,Receipt,R160,OI82D0ETCO,2020-09-24 19:19:50.319264,-14200
170,150,Receipt,R161,OI87CQ0473,2020-09-24 19:21:53.213936,-9000
171,168,Receipt,R162,OII7N9T00B,2020-09-24 19:31:36.180551,-4000.00
172,169,Receipt,R163,OIM9RV5P6F,2020-09-24 19:35:52.806352,-16000.00
173,151,Receipt,R164,OI86CNY1C4,2020-09-24 19:40:36.633309,-10052
174,175,Receipt,R165,OI91DMUCSB,2020-09-24 21:03:50.640693,-40000
175,176,Receipt,R166,OIC0HAS55A,2020-09-24 21:11:26.622884,-7500
176,133,Receipt,R167,OID8I9KZU6,2020-09-24 21:14:08.617254,-300
177,132,Receipt,R168,OIF7K68GHP,2020-09-24 21:17:33.11172,-11000
178,82,Receipt,R169,OI75BVWWLX,2020-09-24 21:18:29.828814,-17489
179,75,Receipt,R170,OII7N2SFQX,2020-09-24 21:23:57.780483,-13489.00
180,167,Receipt,R171,OIP0V3CPF4,2020-09-25 18:02:29.410037,-5000.00
181,91,Receipt,R172,OIP7V3IY97,2020-09-25 18:05:32.587263,-10000.00
182,57,Receipt,R173,OIP9VD1LGH,2020-09-25 21:05:30.227161,-12652.00
183,67,Receipt,R174,OIQ2VS9HFW,2020-09-26 12:07:16.000694,-13500.00
184,18,Receipt,R175,OIQ6VV6PK8,2020-09-26 13:16:12.65031,-7500.00
185,133,Receipt,R176,OIQ7W19XN9,2020-09-26 15:34:24.503735,-14350.00
186,148,Receipt,R177,OIR4X5907A,2020-09-27 15:50:08.311531,-2000.00
187,97,Receipt,R178,OIS7Y1HU3R,2020-09-28 13:23:48.76674,-15000.00
188,125,Receipt,R179,OIS8Y720V4,2020-09-28 15:42:08.953337,-8000.00
189,10,Receipt,R180,OIS1YE61O7,2020-09-28 18:11:09.535002,-8000.00
190,160,Receipt,R181,OIT3ZAH8FX,2020-09-29 14:57:17.561632,-8000.00
191,157,Receipt,R182,OIT5ZTQ631,2020-09-29 21:23:38.181457,-11050.00
192,81,Receipt,R183,OIU61AWGU2,2020-09-30 13:13:02.843745,-13163.00
193,162,Receipt,R184,OIU91CFL0P,2020-09-30 13:51:03.238186,-15750.00
361,108,Invoice,N387,,2020-10-01 00:00:04.489554,5500
362,66,Invoice,N492,,2020-10-01 00:00:04.510195,13000
363,67,Invoice,N493,,2020-10-01 00:00:04.510369,13000
364,168,Invoice,N494,,2020-10-01 00:00:04.510539,4000
365,167,Invoice,N495,,2020-10-01 00:00:04.510709,7500
367,175,Invoice,N497,,2020-10-01 00:00:04.511079,40000
368,176,Invoice,N498,,2020-10-01 00:00:04.51135,7500
369,8,Invoice,N491,,2020-10-01 00:00:04.509961,7000
370,7,Invoice,N499,,2020-10-01 00:00:04.511559,7500
371,10,Invoice,N501,,2020-10-01 00:00:04.511939,8000
373,12,Invoice,N503,,2020-10-01 00:00:04.51235,7000
374,14,Invoice,N504,,2020-10-01 00:00:04.512538,7500
375,15,Invoice,N505,,2020-10-01 00:00:04.512773,8000
376,17,Invoice,N506,,2020-10-01 00:00:04.512999,7500
377,127,Invoice,N507,,2020-10-01 00:00:04.513251,9000
378,9,Invoice,N500,,2020-10-01 00:00:04.511766,8000
379,3,Invoice,N490,,2020-10-01 00:00:04.509716,15000
380,18,Invoice,N489,,2020-10-01 00:00:04.509544,7500
381,128,Invoice,N488,,2020-10-01 00:00:04.509372,9000
383,23,Invoice,N472,,2020-10-01 00:00:04.506157,8000
384,24,Invoice,N473,,2020-10-01 00:00:04.50637,8000
385,25,Invoice,N474,,2020-10-01 00:00:04.506583,8000
386,26,Invoice,N475,,2020-10-01 00:00:04.506781,8000
387,27,Invoice,N476,,2020-10-01 00:00:04.506978,8000
388,28,Invoice,N477,,2020-10-01 00:00:04.507171,7000
389,29,Invoice,N478,,2020-10-01 00:00:04.507344,7000
390,30,Invoice,N479,,2020-10-01 00:00:04.507537,7500
391,31,Invoice,N480,,2020-10-01 00:00:04.507879,6500
392,34,Invoice,N481,,2020-10-01 00:00:04.50817,7000
393,35,Invoice,N482,,2020-10-01 00:00:04.508343,7000
394,36,Invoice,N483,,2020-10-01 00:00:04.508515,8500
395,37,Invoice,N484,,2020-10-01 00:00:04.508688,7000
396,38,Invoice,N485,,2020-10-01 00:00:04.50886,8000
397,129,Invoice,N486,,2020-10-01 00:00:04.509031,9000
398,39,Invoice,N487,,2020-10-01 00:00:04.509203,7000
399,133,Invoice,N508,,2020-10-01 00:00:04.513467,14000
400,41,Invoice,N509,,2020-10-01 00:00:04.51368,8500
401,43,Invoice,N510,,2020-10-01 00:00:04.513854,8000
402,33,Invoice,N511,,2020-10-01 00:00:04.51403,8500
403,45,Invoice,N533,,2020-10-01 00:00:04.518459,7500
404,46,Invoice,N534,,2020-10-01 00:00:04.518632,4500
405,47,Invoice,N535,,2020-10-01 00:00:04.518823,11000
406,50,Invoice,N536,,2020-10-01 00:00:04.519038,12000
407,52,Invoice,N537,,2020-10-01 00:00:04.519224,12000
409,54,Invoice,N539,,2020-10-01 00:00:04.519581,12000
410,57,Invoice,N540,,2020-10-01 00:00:04.519779,12000
411,59,Invoice,N541,,2020-10-01 00:00:04.51999,12000
412,60,Invoice,N542,,2020-10-01 00:00:04.52016,12000
413,62,Invoice,N543,,2020-10-01 00:00:04.520331,13000
414,63,Invoice,N544,,2020-10-01 00:00:04.5205,12000
415,64,Invoice,N545,,2020-10-01 00:00:04.520671,13000
416,65,Invoice,N546,,2020-10-01 00:00:04.520842,13000
417,40,Invoice,N547,,2020-10-01 00:00:04.521013,6500
418,49,Invoice,N548,,2020-10-01 00:00:04.521185,12000
419,19,Invoice,N549,,2020-10-01 00:00:04.521356,8000
420,44,Invoice,N532,,2020-10-01 00:00:04.518269,8500
421,21,Invoice,N470,,2020-10-01 00:00:04.505743,7500
422,61,Invoice,N531,,2020-10-01 00:00:04.51808,14000
423,42,Invoice,N529,,2020-10-01 00:00:04.517668,6500
424,56,Invoice,N512,,2020-10-01 00:00:04.514251,12000
425,58,Invoice,N513,,2020-10-01 00:00:04.514455,12000
427,51,Invoice,N515,,2020-10-01 00:00:04.514852,12000
428,48,Invoice,N516,,2020-10-01 00:00:04.51504,10000
429,68,Invoice,N517,,2020-10-01 00:00:04.515276,13000
430,69,Invoice,N518,,2020-10-01 00:00:04.515505,13000
431,71,Invoice,N519,,2020-10-01 00:00:04.515737,13000
432,72,Invoice,N520,,2020-10-01 00:00:04.515908,13000
433,73,Invoice,N521,,2020-10-01 00:00:04.51608,13000
434,74,Invoice,N522,,2020-10-01 00:00:04.516251,13000
435,76,Invoice,N523,,2020-10-01 00:00:04.516421,13000
436,77,Invoice,N524,,2020-10-01 00:00:04.516634,13000
437,78,Invoice,N525,,2020-10-01 00:00:04.516804,13000
438,79,Invoice,N526,,2020-10-01 00:00:04.516975,13000
439,80,Invoice,N527,,2020-10-01 00:00:04.51719,13000
440,55,Invoice,N528,,2020-10-01 00:00:04.517454,12000
441,13,Invoice,N530,,2020-10-01 00:00:04.517838,7500
442,107,Invoice,N386,,2020-10-01 00:00:04.489354,5000
443,20,Invoice,N469,,2020-10-01 00:00:04.505563,8000
444,83,Invoice,N467,,2020-10-01 00:00:04.505218,17000
445,89,Invoice,N409,,2020-10-01 00:00:04.49395,18000
446,90,Invoice,N410,,2020-10-01 00:00:04.494155,15000
447,91,Invoice,N411,,2020-10-01 00:00:04.494354,15000
448,92,Invoice,N412,,2020-10-01 00:00:04.494545,15000
449,93,Invoice,N413,,2020-10-01 00:00:04.49472,19000
450,94,Invoice,N414,,2020-10-01 00:00:04.494892,15000
451,95,Invoice,N415,,2020-10-01 00:00:04.495064,15000
453,96,Invoice,N416,,2020-10-01 00:00:04.495237,15000
454,98,Invoice,N418,,2020-10-01 00:00:04.4956,15000
455,99,Invoice,N419,,2020-10-01 00:00:04.495789,15000
456,100,Invoice,N420,,2020-10-01 00:00:04.495984,18000
457,101,Invoice,N421,,2020-10-01 00:00:04.496157,15000
458,102,Invoice,N422,,2020-10-01 00:00:04.49633,15000
459,123,Invoice,N423,,2020-10-01 00:00:04.496504,6000
460,124,Invoice,N424,,2020-10-01 00:00:04.496696,5000
461,97,Invoice,N417,,2020-10-01 00:00:04.495409,15000
462,87,Invoice,N407,,2020-10-01 00:00:04.493501,10000
463,86,Invoice,N406,,2020-10-01 00:00:04.493285,17000
464,103,Invoice,N405,,2020-10-01 00:00:04.493104,15000
465,109,Invoice,N388,,2020-10-01 00:00:04.489737,5500
466,110,Invoice,N389,,2020-10-01 00:00:04.489916,5500
467,111,Invoice,N390,,2020-10-01 00:00:04.490105,5500
468,112,Invoice,N391,,2020-10-01 00:00:04.490277,5000
469,113,Invoice,N392,,2020-10-01 00:00:04.490448,3000
470,106,Invoice,N393,,2020-10-01 00:00:04.49062,15000
471,114,Invoice,N394,,2020-10-01 00:00:04.490796,2500
472,116,Invoice,N395,,2020-10-01 00:00:04.490991,4000
473,117,Invoice,N396,,2020-10-01 00:00:04.491168,4500
474,118,Invoice,N397,,2020-10-01 00:00:04.491356,4000
475,119,Invoice,N398,,2020-10-01 00:00:04.491527,2500
476,120,Invoice,N399,,2020-10-01 00:00:04.491696,4000
477,121,Invoice,N400,,2020-10-01 00:00:04.491865,5000
478,122,Invoice,N401,,2020-10-01 00:00:04.49223,5000
479,115,Invoice,N402,,2020-10-01 00:00:04.492558,4000
480,105,Invoice,N403,,2020-10-01 00:00:04.492734,15000
481,104,Invoice,N404,,2020-10-01 00:00:04.49291,18000
482,125,Invoice,N425,,2020-10-01 00:00:04.496892,8000
483,126,Invoice,N426,,2020-10-01 00:00:04.497178,8000
484,158,Invoice,N427,,2020-10-01 00:00:04.497385,18000
485,159,Invoice,N428,,2020-10-01 00:00:04.497614,15000
486,134,Invoice,N450,,2020-10-01 00:00:04.501948,18000
487,135,Invoice,N451,,2020-10-01 00:00:04.502163,13000
488,136,Invoice,N452,,2020-10-01 00:00:04.502451,14000
489,137,Invoice,N453,,2020-10-01 00:00:04.502667,14000
490,138,Invoice,N454,,2020-10-01 00:00:04.502839,17000
491,140,Invoice,N455,,2020-10-01 00:00:04.50306,13000
492,141,Invoice,N456,,2020-10-01 00:00:04.503279,18000
493,142,Invoice,N457,,2020-10-01 00:00:04.50345,13000
494,143,Invoice,N458,,2020-10-01 00:00:04.503623,14000
495,144,Invoice,N459,,2020-10-01 00:00:04.503795,14000
496,145,Invoice,N460,,2020-10-01 00:00:04.503987,14000
497,146,Invoice,N461,,2020-10-01 00:00:04.504167,9000
498,148,Invoice,N462,,2020-10-01 00:00:04.504357,9000
499,149,Invoice,N463,,2020-10-01 00:00:04.50453,9000
500,152,Invoice,N464,,2020-10-01 00:00:04.504702,9000
501,154,Invoice,N465,,2020-10-01 00:00:04.504874,10000
502,84,Invoice,N466,,2020-10-01 00:00:04.505045,17000
503,131,Invoice,N449,,2020-10-01 00:00:04.501721,14000
504,81,Invoice,N468,,2020-10-01 00:00:04.505391,13000
505,82,Invoice,N448,,2020-10-01 00:00:04.501549,17000
506,155,Invoice,N446,,2020-10-01 00:00:04.50116,10000
507,160,Invoice,N429,,2020-10-01 00:00:04.497785,15000
509,162,Invoice,N431,,2020-10-01 00:00:04.498217,15000
510,163,Invoice,N432,,2020-10-01 00:00:04.498389,14500
511,164,Invoice,N433,,2020-10-01 00:00:04.49856,15000
512,16,Invoice,N434,,2020-10-01 00:00:04.498731,8000
513,147,Invoice,N435,,2020-10-01 00:00:04.498904,9000
514,132,Invoice,N436,,2020-10-01 00:00:04.499075,14000
515,165,Invoice,N437,,2020-10-01 00:00:04.499246,15000
516,130,Invoice,N438,,2020-10-01 00:00:04.499419,16000
517,70,Invoice,N439,,2020-10-01 00:00:04.499708,13000
518,156,Invoice,N440,,2020-10-01 00:00:04.499982,10000
519,139,Invoice,N441,,2020-10-01 00:00:04.500242,14000
520,150,Invoice,N442,,2020-10-01 00:00:04.500458,9000
521,151,Invoice,N443,,2020-10-01 00:00:04.500648,9000
522,157,Invoice,N444,,2020-10-01 00:00:04.500817,10000
523,85,Invoice,N445,,2020-10-01 00:00:04.500987,16000
524,153,Invoice,N447,,2020-10-01 00:00:04.501354,9000
525,75,Invoice,N550,,2020-10-01 00:00:04.521528,13000
526,72,Receipt,R185,OJ102MVBQ8,2020-10-01 15:07:04.437436,-13300.00
527,103,Receipt,R186,OJ152R9BTR,2020-10-01 16:45:43.864358,-17000.00
528,164,Receipt,R187,OJ223EDGVU,2020-10-02 08:56:17.631517,-16000.00
529,135,Receipt,R188,OJ273HSMQV,2020-10-02 10:24:37.221116,-13000.00
530,90,Receipt,R189,OJ283HX2D0,2020-10-02 10:27:32.285339,-16150.00
531,123,Receipt,R190,OJ2340C4B7,2020-10-02 17:33:01.958161,-6000.00
532,59,Receipt,R191,OJ264FO472,2020-10-02 23:10:21.054956,-5000.00
533,91,Receipt,R192,OJ364I3NDU,2020-10-03 06:59:35.991351,-3000.00
534,169,Receipt,R193,OJ364OPQOI,2020-10-03 10:09:23.115971,-11000.00
535,56,Receipt,R194,OJ3551XX9J,2020-10-03 15:06:31.542312,-12489.00
536,145,Receipt,R195,OJ3557GW23,2020-10-03 17:06:56.016309,-14240.00
537,58,Receipt,R196,OJ4260K1AK,2020-10-04 12:35:57.619513,-12000.00
538,102,Receipt,R197,OJ406ADOXY,2020-10-04 16:36:55.71523,-15500.00
539,43,Receipt,R198,OJ436AMEMJ,2020-10-04 16:42:30.218165,-9000.00
540,139,Receipt,R199,OJ456E863D,2020-10-04 18:02:19.15189,-13000.00
541,128,Receipt,R200,OJ486FHEXI,2020-10-04 18:26:31.978595,-9360.00
542,89,Receipt,R201,OJ506Z1O0O,2020-10-05 10:40:59.286441,-20119.00
543,82,Receipt,R202,OJ577SSKIV,2020-10-05 21:00:33.195692,-17489.00
545,87,Receipt,R204,OJ577SYRBP,2020-10-05 21:05:00.85557,-10330.00
546,148,Receipt,R205,OJ567T2PF8,2020-10-05 21:07:53.393536,-10600.00
547,76,Receipt,R206,OJ637ZEQGP,2020-10-06 07:38:12.912306,-13300.00
548,140,Receipt,R207,OJ69864RDL,2020-10-06 10:37:18.489417,-13000.00
549,42,Receipt,R208,OJ688GGMBK,2020-10-06 14:45:31.495798,-7500.00
550,39,Receipt,R209,OJ678PESCF,2020-10-06 17:57:57.496222,-8000.00
551,6,Receipt,R210,OJ688U4XWQ,2020-10-06 19:14:05.770705,-7000.00
552,165,Receipt,R211,OJ689141OE,2020-10-06 21:39:03.857086,-16000.00
553,93,Receipt,R212,OJ6292UV3M,2020-10-06 23:09:31.638157,-19326.00
554,25,Receipt,R213,OJ7793OTCF,2020-10-07 01:40:18.467829,-8000.00
555,99,Receipt,R214,OJ71959KNF,2020-10-07 06:55:59.136573,-15815.00
556,62,Receipt,R215,OJ7798TB87,2020-10-07 08:57:52.665717,-13336.00
557,47,Receipt,R216,OJ749LJQMW,2020-10-07 14:12:43.169547,-11326.00
558,29,Receipt,R217,OJ719M4YBV,2020-10-07 14:27:01.926235,-6000.00
559,176,Receipt,R218,OJ749QD150,2020-10-07 16:08:07.681914,-7500.00
560,113,Receipt,R219,OJ789S775M,2020-10-07 16:48:58.12073,-300.00
561,113,Receipt,R220,OJ759SJ0IB,2020-10-07 16:55:50.51561,-2700.00
