Id,ReceiptNo,TransactionDate,TenancyId,ReferenceNo,PaymentMode,ReceiptAmount,CapturedBy,Narration,Status,IDNumber,PayBillNo
6508,R6508,2022-09-20 13:18:35.726458,249,QIK7BSTHS9,1,2000.00,System,,Posted,,345345
7198,R7198,2022-11-10 15:40:34.099873,365,QK82ITQU9K,1,85000.00,System,,Posted,,345345
6920,R6920,2022-10-17 16:25:30.750833,624,QJG51B9KKT,1,20000.00,System,,Posted,,345345
6982,R6982,2022-10-31 11:19:30.88689,625,QJO1J1AMO5,1,8000.00,System,,Posted,,4051511
7199,R7199,2022-11-10 15:43:14.880124,359,QK87JW1DWZ,1,7500.00,System,,Posted,,345345
6983,R6983,2022-10-31 11:19:38.026147,625,QJT3T41BGH,1,9000.00,System,,Posted,,4051511
7053,R7053,2022-11-04 05:16:43.861907,548,QK4780QZX5,1,8000.00,System,,Posted,,345345
7331,R7331,2022-11-17 18:55:17.990186,149,QKH554ANX5,1,7000.00,System,,Posted,,345345
7120,R7120,2022-11-07 10:34:24.666151,413,QK79FOK767,1,7500.00,System,,Posted,,4051511
7200,R7200,2022-11-10 15:43:55.849664,373,QK79H86XDR,1,5000.00,System,,Posted,,345345
7201,R7201,2022-11-10 15:44:36.410046,294,QKA4ND7EVG,1,3000.00,System,,Posted,,345345
7202,R7202,2022-11-10 15:44:48.438187,623,QK97L78N5N,1,4000.00,System,,Posted,,345345
7648,R7648,2022-12-10 18:00:28.996963,434,QLA7UWYZHT,1,6500.00,System,,Posted,,4051511
7429,R7429,2022-12-01 18:14:56.093163,542,QL16371D48,1,5000.00,System,,Posted,,345345
7499,R7499,2022-12-05 21:18:15.912893,503,QL56H0Q8SW,1,7000.00,System,,Posted,,4051511
7943,R7943,2023-01-06 21:30:54.105689,438,RA64U4ZM5I,1,8000.00,System,,Posted,,4051511
7576,R7576,2022-12-08 10:04:41.956952,372,QL87NU547D,1,7500.00,System,,Posted,,345345
7710,R7710,2022-12-13 19:22:46.484505,636,QLD33Z0D93,1,12500.00,System,,Posted,,4051511
7821,R7821,2022-12-24 11:10:07.671378,221,QLO8W4Q4SO,1,10000.00,System,,Posted,,345345
7758,R7758,2022-12-17 10:09:18.186856,214,QLH7D972FB,1,14500.00,System,,Posted,,345345
7878,R7878,2023-01-03 14:01:08.360988,158,RA37LGUZ0P,1,5000.00,System,,Posted,,345345
8011,R8011,2023-01-09 10:14:51.738274,512,RA94ZJFMVM,1,8000.00,System,,Posted,,4051511
8012,R8012,2023-01-09 10:17:49.311211,489,RA91ZJOT3B,1,14500.00,System,,Posted,,345345
8082,R8082,2023-01-06 10:19:00.0,450,SANDAL06-01-23,0,185000,,,Posted,,345345
8083,R8083,2023-01-11 10:23:05.683011,565,RAB35GHI11,1,7100.00,System,,Posted,,345345
8084,R8084,2023-01-11 10:23:18.734743,511,RAB95GHT7Z,1,8000.00,System,,Posted,,4051511
8085,R8085,2023-01-11 10:23:36.810391,415,QLJ3KD1VBH,1,800.00,System,,Posted,,4051511
8086,R8086,2023-01-11 10:23:49.404207,415,QLJ2JNUWNA,1,1000.00,System,,Posted,,4051511
8166,R8166,2023-01-16 07:22:12.842681,294,RAG0HA8O3I,1,5500.00,System,,Posted,,345345
8222,R8222,2023-01-20 23:51:37.991638,631,RAK6TSEWYE,1,12500.00,System,,Posted,,4051511
13353,R13353,2024-01-10 18:21:00.0,39,SAA5O588NR,1,7000,,,Posted,,345345
1,R1,2020-09-02 16:41:00.0,6,RC3562324,0,7000,,,Posted,,345345
4490,R4490,2022-04-29 11:56:19.849384,225,QDT25VYIB8,1,5000.00,System,,Posted,,345345
4561,R4561,2022-05-06 08:11:17.868402,157,QE60ISBP4O,1,13500.00,System,,Posted,,345345
5105,R5105,2022-06-06 06:23:54.659981,110,QF64903XOA,1,5500.00,System,,Posted,,345345
4562,R4562,2022-05-06 08:14:43.122576,459,QE65ISIG2N,1,7000.00,System,,Posted,,4051511
4635,R4635,2022-05-09 21:42:56.497329,332,QE90QEUOTM,1,8000.00,System,,Posted,,345345
4794,R4794,2022-05-11 21:11:12.280703,51,QEB8UAS18G,1,12500.00,System,,Posted,,345345
5192,R5192,2022-06-08 22:13:49.605407,539,QET4TEO4FS,1,8000.00,System,,Posted,,345345
4878,R4878,2022-05-14 18:52:36.426352,340,QEE2ZTCVF0,1,12500.00,System,,Posted,,345345
4947,R4947,2022-05-21 21:24:05.287078,352,QEL6EGALJQ,1,3000.00,System,,Posted,,345345
6314,R6314,2022-09-07 21:13:20.459386,402,QI72JOFBJY,1,7000.00,System,,Posted,,4051511
5022,R5022,2022-06-01 08:12:50.160375,76,QF12Y5OQOE,1,8000.00,System,,Posted,,345345
5264,R5264,2022-06-13 15:25:45.156817,188,QFD6NV5SVS,1,8500.00,System,,Posted,,345345
5092,R5092,2022-06-05 14:16:48.864171,397,QF507U8XI4,1,7000.00,System,,Posted,,4051511
5294,R5294,2022-06-15 21:49:37.351323,29,QFF8SSRD2U,1,7000.00,System,,Posted,,345345
5363,R5363,2022-06-29 12:56:35.287344,243,QFT4JV5T8M,1,3000.00,System,,Posted,,345345
5775,R5775,2022-08-03 19:27:05.955526,35,QH31LT7TMX,1,7000.00,System,,Posted,,345345
5433,R5433,2022-07-05 22:11:11.098106,538,QG54XQDR96,1,9500.00,System,,Posted,,345345
5434,R5434,2022-07-05 22:17:53.337389,534,QG56XQOQCU,1,7000.00,System,,Posted,,4051511
7430,R7430,2022-12-01 19:05:22.934874,649,QL193ETU8P,1,5000.00,System,,Posted,,4051511
5507,R5507,2022-07-08 20:12:32.517678,493,QG814XHE5D,1,11500.00,System,,Posted,,345345
87,R87,2020-09-23 21:22:14.589133,138,OIG4KUYNCA,1,34000,System,,Cancelled,,345345
5847,R5847,2022-08-08 11:19:37.615507,491,QH84V6Z1B0,1,7500.00,System,,Posted,,345345
5576,R5576,2022-07-12 20:32:41.606106,169,QGC3D4FO2P,1,11500.00,System,,Posted,,345345
5658,R5658,2022-07-20 17:26:26.27143,509,QGK7SDUX71,1,2000.00,System,,Posted,,4051511
6388,R6388,2022-09-11 15:16:47.814627,288,QIB5S39GAT,1,7500.00,System,,Posted,,345345
5890,R5890,2022-08-11 07:53:07.566651,89,QHB516ZKXZ,1,18500.00,System,,Posted,,345345
5954,R5954,2022-08-15 15:44:07.970948,288,QHF895H7CS,1,7500.00,System,,Posted,,345345
7054,R7054,2022-11-04 08:31:56.07107,550,QK4688D2BE,1,8500.00,System,,Posted,,345345
5955,R5955,2022-08-15 15:45:35.641208,186,QHF595KXWL,1,13500.00,System,,Posted,,345345
6428,R6428,2022-09-14 20:36:31.363224,85,QIE8Z2KNMQ,1,16100.00,System,,Posted,,345345
6023,R6023,2022-08-19 11:55:24.30473,569,QHC432M24Q,1,4000.00,System,,Posted,,4051511
5709,,2022-07-28 20:30:22.808,575,QGS99H32E9,1,7000.00,,,Posted,,4051511
6095,R6095,2022-08-22 14:02:24.654048,202,QHM6LZBHR0,1,2000.00,System,,Posted,,345345
6509,R6509,2022-09-20 13:52:25.467275,132,QIK9BVFC4L,1,10000.00,System,,Posted,,345345
6168,R6168,2022-08-30 20:23:17.062438,603,QHU23I6Z78,1,10000.00,System,,Posted,,345345
6237,R6237,2022-09-05 14:13:31.284452,413,QI58F79G5G,1,7000.00,System,,Posted,,345345
6311,R6311,2022-09-07 21:12:24.481072,179,QI72KB6DC0,1,11500.00,System,,Posted,,345345
6573,R6573,2022-09-30 05:23:01.741514,526,QIU7WXT8AZ,1,7000.00,System,,Posted,,4051511
6312,R6312,2022-09-07 21:12:34.245603,236,QI69IGZ83T,1,14500.00,System,,Posted,,345345
6313,R6313,2022-09-07 21:13:02.883948,275,QI78IX2CYE,1,8500.00,System,,Posted,,345345
7122,R7122,2022-11-07 13:16:35.199782,139,QK72G1DQOM,1,15000.00,System,,Posted,,345345
6645,R6645,2022-10-04 20:57:51.619461,147,QJ469CEFBA,1,17500.00,System,,Posted,,345345
6722,R6722,2022-10-07 14:14:42.497751,607,QJ76FBMS64,1,7000.00,System,,Posted,,4051511
6793,R6793,2022-10-10 08:10:54.640996,621,QJA6LE3HBA,1,3000.00,System,,Posted,,345345
7203,R7203,2022-11-09 15:46:00.0,343,RUNDA09-11-22,0,350000,,,Posted,,345345
6921,R6921,2022-10-17 16:27:24.248741,54,QJG3ZASGRR,1,4500.00,System,,Posted,,345345
6984,R6984,2022-10-31 11:26:07.535408,626,QJK99QJRNF,1,29500.00,System,,Posted,,4051511
7500,R7500,2022-12-06 07:37:34.801879,546,QL64HHP2PS,1,7500.00,System,,Posted,,345345
7204,R7204,2022-11-05 15:49:00.0,345,DAM05-11-22,0,60000,,,Posted,,345345
7269,R7269,2022-11-12 17:05:08.840449,638,QK93KT0RCZ,1,7000.00,System,,Posted,,4051511
7332,R7332,2022-11-17 20:47:59.496242,370,QKH25HG5DG,1,2000.00,System,,Posted,,345345
7759,R7759,2022-12-17 12:09:36.607598,370,QLH0DJZPLC,1,3000.00,System,,Posted,,345345
7577,R7577,2022-12-08 10:38:44.611732,416,QL84NXD3RA,1,7500.00,System,,Posted,,4051511
7649,R7649,2022-12-10 19:11:50.962316,577,QLA8V6D1GQ,1,7500.00,System,,Posted,,4051511
7711,R7711,2022-12-13 19:38:41.184809,188,QLD341CLHX,1,8500.00,System,,Posted,,345345
7822,R7822,2022-12-24 14:57:48.835583,243,QLO0WSVT8M,1,6500.00,System,,Posted,,345345
7944,R7944,2023-01-06 21:36:14.451121,577,RA64U5FE50,1,8000.00,System,,Posted,,4051511
7879,R7879,2023-01-03 18:32:23.272196,157,RA32M6KYXM,1,13500.00,System,,Posted,,345345
8013,R8013,2023-01-09 10:41:50.934742,575,RA90ZLPKSQ,1,7500.00,System,,Posted,,4051511
8087,R8087,2023-01-11 11:03:28.325063,674,QLS587E6QT,1,9000.00,System,,Posted,,4051511
8105,R8105,2023-01-11 20:35:36.557375,372,RAB174KK9B,1,7500.00,System,,Posted,,345345
8167,R8167,2023-01-16 08:02:09.757687,250,RAG2HCH0VU,1,6500.00,System,,Posted,,345345
8223,R8223,2023-01-21 08:04:59.192761,304,RAL4TZSLGU,1,8000.00,System,,Posted,,345345
8285,R8285,2023-01-27 09:02:43.039214,154,RAR0A83T5A,1,14500.00,System,,Posted,,345345
8338,R8338,2023-02-01 20:46:21.928927,516,RB14OTY7NM,1,8000.00,System,,Posted,,4051511
8389,R8389,2023-02-05 10:13:57.870454,181,RB58XRLU4S,1,14000.00,System,,Posted,,345345
8438,R8438,2023-02-07 14:38:08.682443,461,RB774OPS5B,1,7000.00,System,,Posted,,4051511
8490,R8490,2023-02-08 14:25:03.676274,509,RB807A3W5S,1,1500.00,System,,Posted,,4051511
8532,R8532,2023-02-10 09:48:08.977758,612,RBA0BW4KIK,1,7500.00,System,,Posted,,345345
101,R101,2020-09-23 21:22:16.118264,68,OIG2LOSH0M,1,13652,System,,Cancelled,,345345
4491,R4491,2022-04-29 15:42:15.634695,81,QDT66B6RZG,1,13500.00,System,,Posted,,345345
4563,R4563,2022-05-06 09:46:44.937866,189,QE66IY31E6,1,8500.00,System,,Posted,,345345
4655,R4655,2022-05-09 21:48:09.19645,479,QD801R3YS2,1,7000,System,,Posted,,4051511
4636,R4636,2022-05-09 21:48:07.149752,402,QD76YA7762,1,7000,System,,Posted,,4051511
4637,R4637,2022-05-09 21:48:07.285241,408,QD76Y9F5LC,1,7000,System,,Posted,,4051511
4678,R4678,2022-05-09 21:48:11.620213,416,QCO274YTS0,1,7000,System,,Posted,,4051511
4638,R4638,2022-05-09 21:48:07.398331,394,QD75Y97FF5,1,3500,System,,Posted,,4051511
4656,R4656,2022-05-09 21:48:09.297056,476,QD54VMX0YE,1,7000,System,,Posted,,4051511
4639,R4639,2022-05-09 21:48:07.507449,482,QD62XZKZT0,1,7000,System,,Posted,,4051511
4640,R4640,2022-05-09 21:48:07.634298,410,QD67XZH3UT,1,7000,System,,Posted,,4051511
4669,R4669,2022-05-09 21:48:10.67617,397,QD59VBVQWX,1,7000,System,,Posted,,4051511
4641,R4641,2022-05-09 21:48:07.730257,439,QD66XZ72CM,1,7000,System,,Posted,,4051511
4657,R4657,2022-05-09 21:48:09.409797,454,QD891QLLW3,1,7000,System,,Posted,,4051511
4642,R4642,2022-05-09 21:48:07.82805,468,QD64XIBRRS,1,7000,System,,Posted,,4051511
4643,R4643,2022-05-09 21:48:07.929107,390,QD62X93ECG,1,7000,System,,Posted,,4051511
4644,R4644,2022-05-09 21:48:08.045394,392,QD68X28J60,1,7000,System,,Posted,,4051511
4658,R4658,2022-05-09 21:48:09.521321,426,QD811JXXKZ,1,5400,System,,Posted,,4051511
4645,R4645,2022-05-09 21:48:08.196119,400,QD63WYACNR,1,7000,System,,Posted,,4051511
4646,R4646,2022-05-09 21:48:08.287818,452,QD60W77G4Y,1,7000,System,,Posted,,4051511
4647,R4647,2022-05-09 21:48:08.381252,396,QD51VX6UXX,1,7000,System,,Posted,,4051511
4659,R4659,2022-05-09 21:48:09.621978,414,QD831D2L79,1,7000,System,,Posted,,4051511
4648,R4648,2022-05-09 21:48:08.49415,457,QD71YCADSJ,1,7000,System,,Posted,,4051511
4649,R4649,2022-05-09 21:48:08.598614,459,QD79YKCHQF,1,4000,System,,Posted,,4051511
4670,R4670,2022-05-09 21:48:10.779916,431,QD37QKP5OH,1,7000,System,,Posted,,4051511
4650,R4650,2022-05-09 21:48:08.689454,466,QD72Z5L178,1,7000,System,,Posted,,4051511
4660,R4660,2022-05-09 21:48:09.733084,463,QD77ZWIJSF,1,7000,System,,Posted,,4051511
4651,R4651,2022-05-09 21:48:08.798951,477,QD76Z9CI8Y,1,7000,System,,Posted,,4051511
4652,R4652,2022-05-09 21:48:08.905293,420,QD8328N4A1,1,4000,System,,Posted,,4051511
4653,R4653,2022-05-09 21:48:08.992754,481,QD87276R3R,1,7000,System,,Posted,,4051511
4661,R4661,2022-05-09 21:48:09.846675,434,QD73ZUAERR,1,7000,System,,Posted,,4051511
4654,R4654,2022-05-09 21:48:09.096117,411,QD8222ZPNA,1,7000,System,,Posted,,4051511
4662,R4662,2022-05-09 21:48:09.940185,455,QD78ZSRVSY,1,7000,System,,Posted,,4051511
4671,R4671,2022-05-09 21:48:10.861425,428,QD24PW5P8E,1,7000,System,,Posted,,4051511
4663,R4663,2022-05-09 21:48:10.039597,425,QD75ZR6M5Z,1,7000,System,,Posted,,4051511
4664,R4664,2022-05-09 21:48:10.150239,394,QD74ZQ5SNC,1,300,System,,Posted,,4051511
4679,R4679,2022-05-09 21:48:11.718496,479,QCO570BKKH,1,4000,System,,Posted,,4051511
4665,R4665,2022-05-09 21:48:10.250612,394,QD73ZNSUC5,1,3200,System,,Posted,,4051511
4672,R4672,2022-05-09 21:48:10.954415,419,QD22P3AEMS,1,7000,System,,Posted,,4051511
4666,R4666,2022-05-09 21:48:10.36372,401,QD841PBNB8,1,7000,System,,Posted,,4051511
4667,R4667,2022-05-09 21:48:10.466512,399,QD862KRHN2,1,7000,System,,Posted,,4051511
4668,R4668,2022-05-09 21:48:10.560222,413,QD58VJQCBE,1,7000,System,,Posted,,4051511
4673,R4673,2022-05-09 21:48:11.053496,462,QD21O8W0LL,1,4500,System,,Posted,,4051511
4674,R4674,2022-05-09 21:48:11.162405,475,QCV4KHXT9G,1,7000,System,,Posted,,4051511
4680,R4680,2022-05-09 21:48:11.813956,444,QD31R07J7B,1,7000,System,,Posted,,4051511
4675,R4675,2022-05-09 21:48:11.277997,451,QCV9K5DZGF,1,5000,System,,Posted,,4051511
4676,R4676,2022-05-09 21:48:11.391124,436,QCT8GCUJ5Q,1,8000,System,,Posted,,4051511
4685,R4685,2022-05-09 21:48:12.329605,470,QD50UT4N90,1,7000,System,,Posted,,4051511
4677,R4677,2022-05-09 21:48:11.496734,436,QCS8EYRGUW,1,7000,System,,Posted,,4051511
4681,R4681,2022-05-09 21:48:11.920013,409,QD32RLOSMA,1,7000,System,,Posted,,4051511
4689,R4689,2022-05-09 21:48:12.789049,461,QD55UG5KMR,1,3000,System,,Posted,,4051511
4682,R4682,2022-05-09 21:48:12.005565,435,QD47SHWOPB,1,7000,System,,Posted,,4051511
4686,R4686,2022-05-09 21:48:12.449689,473,QD54UPDQ3M,1,8500,System,,Posted,,4051511
4683,R4683,2022-05-09 21:48:12.123553,417,QD57V61RZR,1,7000,System,,Posted,,4051511
4684,R4684,2022-05-09 21:48:12.227229,465,QD57UW9M1X,1,7000,System,,Posted,,4051511
4687,R4687,2022-05-09 21:48:12.558786,404,QD50ULILAU,1,7000,System,,Posted,,4051511
4688,R4688,2022-05-09 21:48:12.673409,424,QD56UHMGFG,1,7000,System,,Posted,,4051511
4690,R4690,2022-05-09 21:48:12.898895,429,QD59UG3MNF,1,3500,System,,Posted,,4051511
4795,R4795,2022-05-11 22:03:04.515537,141,QEB5UDS4LJ,1,18500.00,System,,Posted,,345345
4691,R4691,2022-05-09 21:48:13.014264,443,QD59VJ314V,1,7000,System,,Posted,,4051511
4879,R4879,2022-05-14 20:56:16.669863,310,QEE915DL4P,1,5000.00,System,,Posted,,345345
4948,R4948,2022-05-22 12:18:56.784214,361,QEM6F3ZPB2,1,500.00,System,,Posted,,345345
5023,R5023,2022-06-01 08:18:22.335709,351,QF11Y5YKKD,1,8500.00,System,,Posted,,345345
5093,R5093,2022-06-05 16:00:38.918233,133,QF5381FOLJ,1,14500.00,System,,Posted,,345345
5106,R5106,2022-06-06 07:33:26.798967,257,QF6292AEWK,1,14500.00,System,,Posted,,345345
5193,R5193,2022-06-08 22:16:15.142637,540,QEV2X3AEJS,1,18000.00,System,,Posted,,345345
5265,R5265,2022-06-13 15:39:33.955828,389,QFD2NW46NO,1,14000.00,System,,Posted,,4051511
5295,R5295,2022-06-16 06:19:37.164333,420,QFG4SYSL4Y,1,2000.00,System,,Posted,,4051511
5364,R5364,2022-06-29 19:40:21.999784,100,QFT6KT9H88,1,3500.00,System,,Posted,,345345
5435,R5435,2022-07-05 23:14:43.807817,249,QG55XSIMCH,1,2000.00,System,,Posted,,345345
5508,R5508,2022-07-08 23:52:15.828359,482,QG8659K034,1,7000.00,System,,Posted,,4051511
160,R160,2020-09-24 19:19:50.309119,139,OI82D0ETCO,1,14200,System,,Posted,,345345
4709,R4709,2022-05-09 21:48:15.429647,418,QDA85WNH38,1,7000,System,,Posted,,4051511
4492,R4492,2022-04-29 16:09:18.649596,64,QDT86D47Z8,1,13500.00,System,,Posted,,345345
234,R234,2020-10-09 12:57:47.561946,155,OJ96BUYNNU,1,10800.00,System,,Posted,,345345
4564,R4564,2022-05-06 11:24:45.742326,309,QE61J4OOEB,1,6500.00,System,,Posted,,345345
4565,R4565,2022-05-06 11:30:16.299893,431,QE65J52G21,1,7000.00,System,,Posted,,4051511
4710,R4710,2022-05-09 21:48:15.545432,393,QD9543UKJT,1,7000,System,,Posted,,4051511
4692,R4692,2022-05-09 21:48:13.149932,472,QD52U6X9PE,1,7000,System,,Posted,,4051511
4693,R4693,2022-05-09 21:48:13.256086,484,QD50TZT89K,1,7000,System,,Posted,,4051511
4723,R4723,2022-05-09 21:48:16.97479,443,QDI9KZX6FZ,1,4000,System,,Posted,,4051511
4694,R4694,2022-05-09 21:48:13.387364,456,QD46TNJTJ2,1,8500,System,,Posted,,4051511
4711,R4711,2022-05-09 21:48:15.637375,469,QD963HW130,1,7000,System,,Posted,,4051511
4695,R4695,2022-05-09 21:48:13.480442,440,QD42TDHWLA,1,7000,System,,Posted,,4051511
4696,R4696,2022-05-09 21:48:13.590669,422,QD48SUQGSA,1,7000,System,,Posted,,4051511
4697,R4697,2022-05-09 21:48:13.681838,447,QD48SQRL1K,1,7350,System,,Posted,,4051511
4712,R4712,2022-05-09 21:48:15.749681,485,QD923HEPYY,1,3500,System,,Posted,,4051511
4698,R4698,2022-05-09 21:48:13.791722,433,QD46SMJGWO,1,7000,System,,Posted,,4051511
4699,R4699,2022-05-09 21:48:13.908244,438,QD44SHXP4W,1,7000,System,,Posted,,4051511
4700,R4700,2022-05-09 21:48:14.011558,430,QD52U6J444,1,7000,System,,Posted,,4051511
4713,R4713,2022-05-09 21:48:15.865791,415,QD973HAV51,1,7000,System,,Posted,,4051511
4701,R4701,2022-05-09 21:48:14.124049,442,QD862V92LG,1,3000,System,,Posted,,4051511
4702,R4702,2022-05-09 21:48:14.239267,416,QD903FIZRC,1,7000,System,,Posted,,4051511
4796,R4796,2022-05-11 06:59:00.0,175,IMARA11-5-22,1,40000,,,Posted,,345345
4703,R4703,2022-05-09 21:48:14.737268,427,QD9133XDHH,1,7000,System,,Posted,,4051511
4714,R4714,2022-05-09 21:48:15.960437,412,QDC69A53YK,1,7000,System,,Posted,,4051511
4705,R4705,2022-05-09 21:48:14.972956,458,QDB48FSDJQ,1,3500,System,,Posted,,4051511
4706,R4706,2022-05-09 21:48:15.100508,460,QDB88CW6XM,1,7000,System,,Posted,,4051511
4715,R4715,2022-05-09 21:48:16.061614,478,QDC99YQ96F,1,7000,System,,Posted,,4051511
4707,R4707,2022-05-09 21:48:15.214962,458,QDB07WJ6MO,1,3500,System,,Posted,,4051511
4708,R4708,2022-05-09 21:48:15.323422,448,QDB87H5KBI,1,7000,System,,Posted,,4051511
5107,R5107,2022-06-06 07:39:27.693049,501,QF6292JS90,1,7000.00,System,,Posted,,4051511
4880,R4880,2022-05-14 21:50:42.235229,149,QEE218T3U6,1,10000.00,System,,Posted,,345345
4716,R4716,2022-05-09 21:48:16.197538,429,QDJ0NI6GMK,1,3500,System,,Posted,,4051511
4717,R4717,2022-05-09 21:48:16.309333,462,QDJ6NA9QI0,1,2500,System,,Posted,,4051511
4718,R4718,2022-05-09 21:48:16.441573,391,QDJ9N3CVPZ,1,2000,System,,Posted,,4051511
4949,R4949,2022-05-22 20:58:57.175411,243,QEM0G73SXI,1,3000.00,System,,Posted,,345345
4719,R4719,2022-05-09 21:48:16.539088,474,QDG2GMM2OG,1,7000,System,,Posted,,4051511
4720,R4720,2022-05-09 21:48:16.657216,449,QDF3FI070N,1,7000,System,,Posted,,4051511
5509,R5509,2022-07-09 07:29:26.283962,285,QG955E91ID,1,5000.00,System,,Posted,,345345
4721,R4721,2022-05-09 21:48:16.757796,398,QDD2BILK3Y,1,7000,System,,Posted,,4051511
5024,R5024,2022-06-01 09:40:37.51652,393,QF15YAPW09,1,3000.00,System,,Posted,,4051511
4722,R4722,2022-05-09 21:48:16.855659,480,QDD5B6TQ1H,1,7000,System,,Posted,,4051511
5108,R5108,2022-06-06 07:41:10.054963,534,QF6792MDPL,1,7000.00,System,,Posted,,4051511
5094,R5094,2022-06-05 16:46:21.755109,524,QF5784Q2I9,1,7500.00,System,,Posted,,345345
5095,R5095,2022-06-05 16:46:22.228384,523,QF5484Q5QU,1,14000.00,System,,Posted,,345345
5194,R5194,2022-06-08 23:49:13.34644,428,QF83EZW2KF,1,7000.00,System,,Posted,,4051511
5577,R5577,2022-07-12 20:49:06.559871,356,QGC8D5TVX2,1,2500.00,System,,Posted,,345345
5266,R5266,2022-06-13 18:25:59.72907,137,QFD5O9RLA9,1,14500.00,System,,Posted,,345345
5296,R5296,2022-06-16 08:14:42.585293,250,QFG3T2WGOZ,1,6500.00,System,,Posted,,345345
5848,R5848,2022-08-08 11:50:11.408219,516,QH87V97I9N,1,7000.00,System,,Posted,,4051511
5365,R5365,2022-06-29 20:54:29.600918,200,QFT7L0FUGP,1,5900.00,System,,Posted,,345345
5578,R5578,2022-07-12 20:54:13.019365,491,QGC5C2C79N,1,7500.00,System,,Posted,,345345
